wpm,eye_contact_percentage,filler_word_count,grade
152,67.61,14,C
142,30.72,21,D
64,37.0,27,D
156,55.05,20,D
121,79.0,13,C
70,31.8,17,D
152,57.97,30,D
171,34.56,27,D
124,81.58,28,D
137,46.67,13,C
166,7.67,4,D
149,16.61,20,D
153,6.11,13,D
180,49.93,24,D
199,10.63,26,D
102,11.41,7,D
51,94.1,27,D
137,87.27,27,D
87,45.21,22,D
179,98.58,30,D
70,0.02,14,D
107,61.4,27,D
71,61.64,28,D
138,45.74,14,C
98,39.69,29,D
108,45.54,18,C
64,41.5,25,D
100,73.05,19,C
157,13.54,5,D
104,19.76,18,D
113,18.05,26,D
180,26.25,24,D
100,52.53,7,C
184,11.12,5,D
70,86.82,19,C
122,29.74,22,D
67,16.25,28,D
181,67.56,14,D
138,3.81,26,D
109,62.0,2,B
63,69.82,9,D
58,21.49,14,D
139,4.2,23,D
102,36.36,15,D
179,9.86,16,D
133,11.65,18,D
141,25.43,10,D
160,29.55,15,D
57,53.0,4,D
84,67.84,4,C
130,59.28,25,D
99,14.84,13,D
153,17.21,17,D
181,87.88,25,D
51,55.84,7,D
183,86.99,4,D
103,37.15,6,D
155,61.44,30,D
53,52.37,15,D
103,31.91,22,D
195,46.99,13,D
93,50.25,4,C
63,20.08,23,D
144,31.5,8,D
97,79.14,3,B
64,91.58,3,D
89,35.98,15,D
131,30.7,23,D
160,19.52,16,D
102,67.85,14,C
73,32.31,3,D
173,98.77,5,D
90,32.57,15,D
64,39.41,28,D
94,60.33,3,B
114,80.17,5,B
138,46.95,4,C
120,42.27,15,C
58,99.56,29,D
137,1.05,24,D
178,89.51,15,D
185,14.91,9,D
112,78.59,8,B
188,61.79,3,D
130,34.18,28,D
185,87.39,13,D
82,1.29,3,D
172,22.67,11,D
54,56.69,23,D
90,35.15,9,D
77,61.04,30,D
184,2.41,3,D
121,11.65,17,D
61,12.71,12,D
82,18.93,12,D
97,45.93,13,C
200,75.21,30,D
111,90.55,17,C
86,83.54,0,C
148,19.69,20,D
153,44.12,15,C
84,19.94,14,D
150,26.45,21,D
180,50.35,24,D
50,6.81,4,D
54,21.82,28,D
191,93.54,5,D
152,46.61,5,C
76,44.54,2,C
186,1.46,15,D
64,24.74,11,D
139,86.63,3,A
91,16.46,0,D
173,41.51,3,D
112,1.43,0,D
145,47.83,30,D
101,2.1,20,D
145,81.96,26,D
181,82.49,26,D
200,78.77,7,D
192,28.34,23,D
78,83.72,4,C
85,54.3,29,D
62,37.38,25,D
120,62.53,1,B
135,1.23,11,D
77,14.3,21,D
115,74.23,16,C
94,24.42,6,D
111,59.8,10,C
183,38.51,3,D
77,85.48,4,C
77,95.24,5,C
157,88.36,10,B
93,27.06,0,D
133,19.42,24,D
79,47.44,9,C
124,0.73,19,D
177,2.58,23,D
141,55.33,20,D
178,52.04,10,D
170,99.46,23,D
76,20.18,30,D
170,25.81,16,D
165,11.35,7,D
52,91.75,26,D
152,77.78,12,C
186,82.23,26,D
111,90.28,19,C
100,52.49,17,C
108,45.12,26,D
167,33.04,21,D
145,58.92,15,C
162,45.43,1,C
111,45.16,4,C
101,93.69,17,C
61,98.4,2,D
88,79.65,26,D
179,75.68,21,D
180,68.06,16,D
162,16.61,15,D
150,5.91,5,D
162,69.07,18,C
130,72.88,6,B
162,4.7,17,D
51,92.81,13,D
179,9.11,5,D
103,28.59,7,D
136,67.24,14,C
178,16.99,14,D
196,5.54,14,D
175,33.11,15,D
179,76.6,0,D
102,41.37,10,C
117,65.3,26,D
172,57.96,28,D
194,2.22,24,D
87,98.85,4,C
73,4.14,4,D
118,96.78,28,D
165,54.99,27,D
147,96.32,20,D
188,11.48,5,D
193,49.04,1,D
146,16.95,5,D
173,5.1,13,D
119,61.75,10,B
142,20.78,3,D
52,58.77,23,D
197,11.24,28,D
196,33.2,26,D
139,78.16,24,D
196,43.71,8,D
197,62.77,23,D
145,64.75,2,B
101,84.38,25,D
177,32.49,15,D
88,68.73,10,C
131,96.16,26,D
153,73.02,3,B
178,48.99,0,D
60,63.07,24,D
200,73.97,20,D
91,61.23,21,D
148,1.67,15,D
56,19.48,18,D
193,81.05,15,D
139,27.27,10,D
161,73.16,25,D
109,37.21,7,D
162,52.19,30,D
51,6.8,22,D
178,18.12,0,D
97,95.72,25,D
189,89.01,27,D
86,65.23,20,D
58,45.96,25,D
148,67.58,8,B
196,61.86,27,D
97,56.86,26,D
180,5.92,11,D
197,63.28,21,D
103,76.89,7,B
169,99.41,25,D
165,1.11,16,D
124,73.02,9,B
162,57.18,26,D
153,43.41,6,C
133,12.76,18,D
161,40.91,24,D
148,35.44,5,D
142,30.28,20,D
195,73.09,23,D
177,70.07,23,D
159,58.9,27,D
131,93.87,27,D
103,34.99,18,D
117,24.38,17,D
82,65.59,14,C
191,19.88,1,D
70,31.5,13,D
97,22.46,20,D
197,6.92,9,D
177,82.75,27,D
185,25.45,15,D
184,47.3,6,D
194,4.33,7,D
177,69.93,9,D
82,33.06,14,D
164,74.47,7,C
168,41.24,12,C
71,19.58,11,D
87,51.32,7,C
158,13.05,14,D
100,44.05,25,D
57,31.73,11,D
76,91.2,10,C
76,6.09,18,D
70,69.4,13,C
79,18.28,26,D
146,31.9,17,D
77,41.55,12,C
160,90.8,3,B
110,24.26,30,D
97,9.13,16,D
196,31.87,18,D
53,10.47,26,D
84,12.86,8,D
98,57.39,22,D
66,6.09,6,D
95,3.09,0,D
166,71.44,6,C
55,36.16,25,D
148,12.54,6,D
173,25.36,19,D
86,64.21,6,C
73,27.55,7,D
142,49.45,15,C
95,12.17,2,D
144,58.81,12,C
148,31.61,9,D
165,62.7,17,C
116,80.84,6,B
177,61.16,20,D
67,29.57,20,D
74,25.57,29,D
103,32.74,4,D
107,16.46,30,D
116,18.12,22,D
153,79.07,24,D
73,38.47,26,D
163,43.6,23,D
81,59.4,21,D
135,58.97,6,C
200,6.74,24,D
176,83.15,29,D
179,17.73,26,D
66,72.31,21,D
153,77.27,16,C
186,71.49,3,D
92,57.9,23,D
88,1.46,22,D
75,36.04,15,D
148,60.48,18,C
99,38.75,9,D
62,86.35,2,D
109,30.88,26,D
184,29.35,2,D
106,26.6,27,D
85,33.28,30,D
69,55.74,16,D
114,70.7,30,D
57,66.26,9,D
193,80.77,16,D
191,88.59,21,D
164,81.61,29,D
192,1.89,29,D
141,73.59,16,C
147,20.84,20,D
115,13.29,3,D
81,63.85,20,D
135,31.97,22,D
100,5.71,5,D
112,13.76,11,D
174,0.09,24,D
199,90.32,21,D
107,2.46,24,D
107,20.95,19,D
135,41.63,16,C
98,35.66,16,D
119,91.17,9,B
64,4.03,6,D
103,51.22,28,D
150,68.05,15,C
57,93.17,28,D
102,62.04,12,C
109,80.38,2,B
157,8.37,1,D
54,38.59,15,D
152,37.39,29,D
55,88.63,5,D
158,15.14,5,D
165,15.19,12,D
143,32.86,6,D
96,5.45,4,D
148,18.25,23,D
104,96.52,6,B
101,42.82,1,C
193,63.2,30,D
62,72.61,16,D
163,36.7,12,D
173,14.72,29,D
155,20.66,24,D
196,31.33,20,D
194,63.61,27,D
169,39.83,26,D
112,0.68,20,D
68,52.34,27,D
141,92.15,15,C
107,81.21,25,D
139,82.52,19,C
166,79.51,1,C
111,32.37,4,D
72,76.52,17,C
176,14.32,27,D
186,65.77,6,D
189,64.16,10,D
178,2.56,24,D
107,78.8,24,D
171,90.32,10,D
50,26.74,21,D
83,81.24,16,C
145,8.24,15,D
175,60.0,12,D
167,48.56,21,D
97,54.59,4,C
138,92.62,19,C
166,87.13,15,C
178,78.51,27,D
65,27.37,21,D
118,91.18,21,D
71,9.75,15,D
142,85.33,15,C
125,32.82,13,D
193,5.38,5,D
135,66.94,1,B
78,23.13,30,D
118,24.36,13,D
96,30.6,15,D
143,6.37,22,D
193,17.71,29,D
134,0.51,19,D
88,44.54,12,C
149,8.43,14,D
82,68.27,11,C
150,23.56,8,D
72,94.36,25,D
59,87.13,17,D
118,28.94,20,D
149,78.32,13,C
83,80.32,19,C
187,98.66,24,D
196,59.78,3,D
145,8.2,7,D
50,64.68,7,D
118,62.5,21,D
53,63.84,21,D
65,30.71,15,D
73,85.97,26,D
129,95.95,23,D
51,21.77,27,D
177,8.82,28,D
133,19.45,27,D
189,82.06,9,D
173,67.66,24,D
82,63.6,30,D
150,40.18,20,D
61,57.78,26,D
116,30.79,16,D
114,47.72,0,C
123,79.31,30,D
92,98.12,17,C
93,93.25,9,B
78,93.39,25,D
190,40.22,20,D
61,46.88,3,D
144,70.56,0,B
95,92.22,3,B
179,14.2,3,D
84,30.42,25,D
130,13.92,3,D
139,61.2,16,C
57,30.63,8,D
142,32.61,29,D
139,7.09,18,D
164,34.98,12,D
154,86.25,3,B
184,23.31,4,D
107,69.52,28,D
163,62.96,12,C
124,86.35,22,D
169,13.23,15,D
70,97.76,21,D
187,58.26,4,D
150,99.55,7,B
148,91.15,15,C
85,22.15,29,D
145,5.62,0,D
200,25.56,22,D
86,52.76,27,D
61,17.16,5,D
162,16.75,10,D
62,46.26,15,D
72,3.33,4,D
148,12.19,15,D
154,41.59,6,C
79,6.31,18,D
66,39.68,0,D
162,47.4,8,C
111,45.13,17,C
133,86.92,12,C
161,53.01,25,D
135,46.8,14,C
190,41.07,2,D
68,81.76,23,D
149,89.51,27,D
189,85.32,9,D
196,67.35,8,D
125,13.74,12,D
58,27.69,15,D
77,4.61,2,D
177,93.08,21,D
101,66.08,22,D
132,74.64,14,C
160,31.16,16,D
193,84.57,13,D
166,25.96,6,D
118,0.16,19,D
148,37.64,15,D
189,57.08,20,D
74,47.87,7,C
172,86.21,3,D
102,10.54,30,D
200,55.38,19,D
193,51.3,23,D
106,28.14,14,D
88,82.22,4,C
158,75.28,12,C
91,73.29,5,B
191,87.62,27,D
171,72.28,26,D
182,23.18,29,D
124,70.56,4,B
195,30.77,16,D
125,24.22,6,D
58,7.3,5,D
123,74.4,1,B
194,71.1,10,D
56,23.45,6,D
190,74.94,21,D
186,91.78,20,D
76,10.8,7,D
171,23.26,4,D
54,75.03,26,D
78,27.45,17,D
132,62.47,21,D
185,8.12,15,D
158,45.22,13,C
114,73.91,11,B
135,68.65,16,C
194,81.51,4,D
120,87.75,13,C
94,77.32,5,B
181,67.16,14,D
85,3.17,6,D
119,53.5,13,C
68,3.77,17,D
157,80.81,0,B
140,32.07,5,D
139,56.24,2,C
68,27.94,4,D
88,78.25,11,C
175,88.65,30,D
190,39.86,10,D
175,86.29,12,D
107,26.71,15,D
197,53.47,30,D
110,85.88,17,C
176,32.59,30,D
154,95.4,16,C
50,12.19,16,D
180,1.83,28,D
141,90.41,10,B
162,6.86,19,D
105,99.19,9,B
166,95.14,28,D
183,13.7,15,D
107,53.76,1,C
93,18.49,16,D
110,42.82,21,D
96,6.14,29,D
198,22.39,19,D
129,36.33,9,D
167,43.86,12,C
196,97.75,11,D
69,80.79,14,D
195,73.74,6,D
96,53.7,26,D
98,84.0,21,D
63,33.93,20,D
192,70.89,25,D
50,99.38,27,D
166,31.46,12,D
103,67.4,11,B
167,84.43,11,C
52,91.58,27,D
193,71.79,1,D
61,28.36,4,D
123,32.63,24,D
65,2.08,24,D
151,76.09,1,B
166,4.27,22,D
57,86.47,25,D
171,11.87,29,D
141,17.19,19,D
139,47.65,12,C
185,73.79,28,D
109,13.9,2,D
77,44.01,10,C
150,48.29,15,C
90,21.23,0,D
194,11.56,18,D
190,83.64,10,D
95,50.25,8,C
84,1.44,13,D
183,80.3,30,D
131,98.08,8,B
164,60.59,6,C
96,50.37,15,C
59,87.84,2,D
105,95.25,28,D
79,75.45,18,C
158,44.55,3,C
54,59.22,6,D
168,70.09,22,D
82,19.43,27,D
167,44.72,11,C
114,82.98,29,D
195,65.47,17,D
60,41.12,27,D
134,66.34,30,D
75,11.82,4,D
112,40.15,22,D
135,79.31,22,D
108,22.05,21,D
76,18.6,25,D
147,95.08,9,B
154,20.99,11,D
148,26.09,7,D
178,96.96,18,D
198,73.47,14,D
104,69.96,0,B
55,85.29,2,D
144,11.58,26,D
182,70.6,17,D
151,50.37,17,C
52,82.92,29,D
72,50.81,29,D
102,62.02,1,B
132,47.77,4,C
194,47.82,28,D
134,76.8,0,B
127,62.86,9,B
